"patient"	"sample"	"plate"	"cell"	"Cell_Type"	"Cell_Type_and_Condition"	"Condition"
"P2_G02_S170"	"P1"	"S1"	"P2"	"P2_G02_S170"	"HCT116"	"HCT116-infected"	"Infected"
"P2_G05_S173"	"P1"	"S1"	"P2"	"P2_G05_S173"	"HCT116"	"HCT116-infected"	"Infected"
"P2_G06_S174"	"P1"	"S1"	"P2"	"P2_G06_S174"	"HCT116"	"HCT116-infected"	"Infected"
"P2_G09_S177"	"P1"	"S1"	"P2"	"P2_G09_S177"	"HCT116"	"HCT116-infected"	"Infected"
"P2_G10_S178"	"P1"	"S1"	"P2"	"P2_G10_S178"	"HCT116"	"HCT116-infected"	"Infected"
"P2_G12_S180"	"P1"	"S1"	"P2"	"P2_G12_S180"	"HCT116"	"HCT116-infected"	"Infected"
"P1_A01_S1"	"P1"	"S1"	"P1"	"P1_A01_S1"	"ERCC only"	"ERCC only"	"ERCC only"
"P1_B01_S13"	"P1"	"S1"	"P1"	"P1_B01_S13"	"ERCC only"	"ERCC only"	"ERCC only"
"P1_C01_S25"	"P1"	"S1"	"P1"	"P1_C01_S25"	"ERCC only"	"ERCC only"	"ERCC only"
"P1_D01_S37"	"P1"	"S1"	"P1"	"P1_D01_S37"	"ERCC only"	"ERCC only"	"ERCC only"
"P1_E01_S49"	"P1"	"S1"	"P1"	"P1_E01_S49"	"ERCC only"	"ERCC only"	"ERCC only"
"P1_F01_S61"	"P1"	"S1"	"P1"	"P1_F01_S61"	"ERCC only"	"ERCC only"	"ERCC only"
"P2_A01_S97"	"P1"	"S1"	"P2"	"P2_A01_S97"	"ERCC only"	"ERCC only"	"ERCC only"
"P2_B01_S109"	"P1"	"S1"	"P2"	"P2_B01_S109"	"ERCC only"	"ERCC only"	"ERCC only"
"P2_C01_S121"	"P1"	"S1"	"P2"	"P2_C01_S121"	"ERCC only"	"ERCC only"	"ERCC only"
"P2_D01_S133"	"P1"	"S1"	"P2"	"P2_D01_S133"	"ERCC only"	"ERCC only"	"ERCC only"
"P2_E01_S145"	"P1"	"S1"	"P2"	"P2_E01_S145"	"ERCC only"	"ERCC only"	"ERCC only"
"P2_F01_S157"	"P1"	"S1"	"P2"	"P2_F01_S157"	"ERCC only"	"ERCC only"	"ERCC only"
